video_id,notflip_frames,flip_frames,within_sequence_median_adjacent_mae,notflip_to_flip_boundary_mae,notflip_to_flip_boundary_ratio_vs_within,notflip_to_flip_cross_id_percentile_mae,notflip_to_flip_boundary_dhash,notflip_to_flip_cross_id_percentile_dhash,notflip_to_flip_composite_percentile,flip_to_notflip_boundary_mae,flip_to_notflip_boundary_ratio_vs_within,flip_to_notflip_cross_id_percentile_mae,flip_to_notflip_boundary_dhash,flip_to_notflip_cross_id_percentile_dhash,flip_to_notflip_composite_percentile,preferred_direction_by_composite,direction_margin
0042,30,30,0.00736538739874959,0.16417387127876282,22.289916658916592,0.75,31.0,0.890625,0.8203125,0.16943901777267456,23.004766565495245,0.7843137254901961,26.0,0.6274509803921569,0.7058823529411764,flip->notflip,0.1144301470588236
0043,30,10,0.01662166742607951,0.14385724067687988,8.654802011690288,0.515625,26.0,0.53125,0.5234375,0.13784563541412354,8.293129195801546,0.5098039215686274,21.0,0.39215686274509803,0.4509803921568627,flip->notflip,0.0724571078431373
0044,30,27,0.005919213523156941,0.15666550397872925,26.467283764275088,0.59375,30.0,0.71875,0.65625,0.15381018817424774,25.98490282070699,0.6470588235294118,27.0,0.5882352941176471,0.6176470588235294,flip->notflip,0.03860294117647056
0045,30,24,0.010431985137984157,0.16280987858772278,15.606797405693356,0.796875,29.0,0.8125,0.8046875,0.12955506145954132,12.419022817413266,0.4117647058823529,20.0,0.21568627450980393,0.3137254901960784,flip->notflip,0.4909620098039216
0046,30,22,0.008540134993381798,0.1617366224527359,18.938415209838503,0.734375,29.0,0.71875,0.7265625,0.17918039858341217,20.980979659252288,0.7843137254901961,30.0,0.8627450980392157,0.8235294117647058,notflip->flip,0.09696691176470584
0047,30,25,0.009627039544284344,0.16430918872356415,17.06746793422241,0.859375,30.0,0.8125,0.8359375,0.17362132668495178,18.03475781794542,0.49019607843137253,21.0,0.29411764705882354,0.39215686274509803,flip->notflip,0.44378063725490197
0048,30,22,0.009230430703610182,0.1984821856021881,21.50302537069676,0.984375,30.0,0.78125,0.8828125,0.16196705400943756,17.54707436848959,0.5294117647058824,21.0,0.4117647058823529,0.47058823529411764,flip->notflip,0.41222426470588236
0049,30,14,0.013106043683364987,0.06699187308549881,5.111525240109576,0.25,18.0,0.25,0.25,0.11803576350212097,9.00620861289661,0.3333333333333333,24.0,0.47058823529411764,0.4019607843137255,notflip->flip,0.1519607843137255
0050,29,14,0.015113262226805091,0.08239346742630005,5.451732801947012,0.15625,12.0,0.078125,0.1171875,0.07652612030506134,5.063507742844133,0.0392156862745098,10.0,0.0196078431372549,0.029411764705882353,flip->notflip,0.08777573529411764
0051,30,16,0.013622568571008742,0.059290431439876556,4.3523679936584925,0.1875,15.0,0.25,0.21875,0.09935566037893295,7.29346010343303,0.3333333333333333,19.0,0.4117647058823529,0.37254901960784315,notflip->flip,0.15379901960784315
0052,30,17,0.012633080827072263,0.07805095613002777,6.17829943451064,0.171875,13.0,0.125,0.1484375,0.08232006430625916,6.516230318882315,0.2549019607843137,16.0,0.21568627450980393,0.23529411764705882,notflip->flip,0.08685661764705882
0053,30,30,0.010468366788700223,0.06613370776176453,6.317480949669307,0.078125,13.0,0.109375,0.09375,0.07464607059955597,7.13063194156805,0.23529411764705882,16.0,0.19607843137254902,0.21568627450980393,notflip->flip,0.12193627450980393
0054,30,22,0.010700060985982418,0.08316546678543091,7.772429231420416,0.15625,8.0,0.046875,0.1015625,0.0889073982834816,8.309055284820756,0.2549019607843137,13.0,0.17647058823529413,0.21568627450980393,notflip->flip,0.11412377450980393
0055,30,20,0.009020278113894165,0.06251595914363861,6.930602178146113,0.09375,10.0,0.1875,0.140625,0.08839581906795502,9.799677787295348,0.29411764705882354,15.0,0.13725490196078433,0.21568627450980393,notflip->flip,0.07506127450980393
0056,30,17,0.011746515519917011,0.0757981613278389,6.4528209407562604,0.203125,17.0,0.234375,0.21875,0.0814746767282486,6.936071943216078,0.23529411764705882,9.0,0.11764705882352941,0.1764705882352941,flip->notflip,0.0422794117647059
0057,30,20,0.008239985443651676,0.06840118020772934,8.301128767214946,0.203125,9.0,0.09375,0.1484375,0.0847700983285904,10.287651465925796,0.2549019607843137,16.0,0.2549019607843137,0.2549019607843137,notflip->flip,0.10646446078431371
0058,30,29,0.006127929547801614,0.07000038027763367,11.423169886596723,0.140625,12.0,0.234375,0.1875,0.09675627946853638,15.7893916230234,0.29411764705882354,21.0,0.35294117647058826,0.3235294117647059,notflip->flip,0.1360294117647059
