video_id,notflip_frames,flip_frames,mean_full_l1_distance,mean_full_l1_rank_notflip_to_flip,mean_full_l1_pct_notflip_to_flip,mean_full_l1_rank_flip_to_notflip,mean_full_l1_pct_flip_to_notflip,median_full_l1_distance,median_full_l1_rank_notflip_to_flip,median_full_l1_pct_notflip_to_flip,median_full_l1_rank_flip_to_notflip,median_full_l1_pct_flip_to_notflip,border_l1_distance,border_l1_rank_notflip_to_flip,border_l1_pct_notflip_to_flip,border_l1_rank_flip_to_notflip,border_l1_pct_flip_to_notflip,center_l1_distance,center_l1_rank_notflip_to_flip,center_l1_pct_notflip_to_flip,center_l1_rank_flip_to_notflip,center_l1_pct_flip_to_notflip,color_hist_cosine_distance,color_hist_cosine_rank_notflip_to_flip,color_hist_cosine_pct_notflip_to_flip,color_hist_cosine_rank_flip_to_notflip,color_hist_cosine_pct_flip_to_notflip,composite_mean_percentile,composite_median_percentile
0027,30,10,0.12389189004898071,35.0,0.53125,16.0,0.29411764705882354,0.14288991689682007,34.0,0.515625,34.0,0.6470588235294118,0.1184442937374115,33.0,0.5,12.0,0.21568627450980393,0.1323901116847992,38.0,0.578125,35.0,0.6666666666666666,0.2665688991546631,35.0,0.53125,47.0,0.9019607843137255,0.5381740196078432,0.53125
0028,30,28,0.10929077118635178,23.0,0.34375,13.0,0.23529411764705882,0.10609441995620728,17.0,0.25,11.0,0.19607843137254902,0.1203172579407692,28.0,0.421875,15.0,0.27450980392156865,0.0920894593000412,14.0,0.203125,10.0,0.17647058823529413,0.15044409036636353,30.0,0.453125,37.0,0.7058823529411765,0.32601102941176474,0.2622549019607843
0029,30,20,0.11874085664749146,24.0,0.359375,19.0,0.35294117647058826,0.12422242760658264,22.0,0.328125,22.0,0.4117647058823529,0.12951159477233887,27.0,0.40625,22.0,0.4117647058823529,0.10193849354982376,18.0,0.265625,16.0,0.29411764705882354,0.15386325120925903,29.0,0.4375,39.0,0.7450980392156863,0.4012561274509804,0.3828125
0030,30,38,0.13563185930252075,29.0,0.4375,19.0,0.35294117647058826,0.13868160545825958,29.0,0.4375,16.0,0.29411764705882354,0.1269783228635788,21.0,0.3125,21.0,0.39215686274509803,0.1491313874721527,46.0,0.703125,22.0,0.4117647058823529,0.12617212533950806,28.0,0.421875,34.0,0.6470588235294118,0.4410539215686275,0.41681985294117646
0031,30,15,0.12992025911808014,21.0,0.3125,26.0,0.49019607843137253,0.13481605052947998,20.0,0.296875,27.0,0.5098039215686274,0.1362263560295105,24.0,0.359375,24.0,0.45098039215686275,0.12008271366357803,17.0,0.25,39.0,0.7450980392156863,0.29809463024139404,32.0,0.484375,51.0,0.9803921568627451,0.4879595588235294,0.46767769607843135
0032,30,9,0.11481603235006332,21.0,0.3125,13.0,0.23529411764705882,0.12812340259552002,26.0,0.390625,13.0,0.23529411764705882,0.11798020452260971,22.0,0.328125,13.0,0.23529411764705882,0.10987991094589233,20.0,0.296875,13.0,0.23529411764705882,0.28379207849502563,37.0,0.5625,46.0,0.8823529411764706,0.37141544117647063,0.3046875
0033,30,11,0.13806940615177155,35.0,0.53125,22.0,0.4117647058823529,0.14956869184970856,35.0,0.53125,23.0,0.43137254901960786,0.1362806260585785,36.0,0.546875,22.0,0.4117647058823529,0.14085990190505981,37.0,0.5625,41.0,0.7843137254901961,0.33990174531936646,33.0,0.5,51.0,0.9803921568627451,0.5691482843137254,0.53125
0034,30,13,0.10856441408395767,15.0,0.21875,4.0,0.058823529411764705,0.11098984628915787,15.0,0.21875,5.0,0.0784313725490196,0.11602721363306046,18.0,0.265625,7.0,0.11764705882352941,0.09692246466875076,10.0,0.140625,4.0,0.058823529411764705,0.018758535385131836,1.0,0.0,3.0,0.0392156862745098,0.11966911764705883,0.09803921568627451
0035,32,16,0.058503568172454834,6.0,0.078125,8.0,0.13725490196078433,0.06658033281564713,6.0,0.078125,9.0,0.1568627450980392,0.055466096848249435,6.0,0.078125,8.0,0.13725490196078433,0.06324201822280884,8.0,0.109375,8.0,0.13725490196078433,0.0439678430557251,6.0,0.078125,10.0,0.17647058823529413,0.11669730392156863,0.12331495098039216
0036,30,21,0.06412508338689804,7.0,0.09375,9.0,0.1568627450980392,0.06386224180459976,7.0,0.09375,9.0,0.1568627450980392,0.05816524848341942,9.0,0.125,10.0,0.17647058823529413,0.07342242449522018,7.0,0.09375,13.0,0.23529411764705882,0.04867583513259888,10.0,0.140625,13.0,0.23529411764705882,0.15076593137254904,0.1487438725490196
