sequence_a,sequence_b,label_a,label_b,video_id_a,video_id_b,same_numeric_video_id,border_l1,center_l1,hist_cosine,edge_l1,coarse_l1,border_l1_pct,center_l1_pct,hist_cosine_pct,edge_l1_pct,coarse_l1_pct,composite_pct,rank_a_to_b,rank_b_to_a,reciprocal_top3
notflip__0052,notflip__0057,notflip,notflip,0052,0057,0,0.003948564175516367,0.01422953698784113,0.007736384868621826,0.030186958611011505,0.02994605153799057,0.01414885777450258,0.07207074428887252,0.014885777450257922,0.08563006632277081,0.014591009579955785,0.03445836403831982,1,4,0
flip__0036,flip__0039,flip,flip,0036,0039,0,0.004345411900430918,0.007175630424171686,0.01025533676147461,0.026991182938218117,0.04045544192194939,0.01930729550478998,0.018865143699336773,0.022844509948415623,0.05630066322770818,0.04937361827560796,0.03470891672807665,2,1,1
notflip__0049,notflip__0057,notflip,notflip,0049,0057,0,0.007172008510679007,0.009290370158851147,0.005113840103149414,0.0265427865087986,0.032186947762966156,0.05232129697862933,0.032571849668386145,0.006779661016949152,0.05173176123802505,0.01930729550478998,0.035143699336772284,7,5,0
flip__0061,flip__0062,flip,flip,0061,0062,0,0.006543839816004038,0.017656562849879265,0.005665898323059082,0.022313421592116356,0.031180618330836296,0.043478260869565216,0.11495946941783346,0.008548268238761975,0.025644804716285923,0.01724392041267502,0.03526160648489315,1,1,1
flip__0028,notflip__0021,flip,notflip,0028,0021,0,0.004770010709762573,0.010777286253869534,0.04389452934265137,0.016260070726275444,0.028068264946341515,0.022402358142962417,0.04318349299926308,0.13809874723655122,0.006337509211495947,0.009432571849668387,0.035379513633014,5,2,0
notflip__0043,notflip__0057,notflip,notflip,0043,0057,0,0.008166775107383728,0.004981420934200287,0.015401005744934082,0.023654811084270477,0.02286025509238243,0.07015475313190862,0.008695652173913044,0.04008843036109064,0.03286661753868828,0.0036845983787767134,0.03542372881355932,8,6,0
notflip__0043,notflip__0049,notflip,notflip,0043,0049,0,0.0029576867818832397,0.013855393044650555,0.007063746452331543,0.030946951359510422,0.034142546355724335,0.006927044952100221,0.06912306558585114,0.011790714812085483,0.09299926308032425,0.024760501105379515,0.03554900515843773,9,8,0
flip__0016,flip__0017,flip,flip,0016,0017,0,0.004631223622709513,0.008850060403347015,0.0102921724319458,0.02658458799123764,0.04048137739300728,0.021665438467207074,0.030066322770817982,0.02299189388356669,0.05217391304347826,0.04952100221075903,0.03577008106116433,2,1,1
notflip__0052,notflip__0056,notflip,notflip,0052,0056,0,0.007054562214761972,0.0049150362610816956,0.01352924108505249,0.027382580563426018,0.028861913830041885,0.051289609432571846,0.008253500368459838,0.03434045689019897,0.05954310980103169,0.011643330876934414,0.036182756079587326,2,4,0
flip__0053,flip__0055,flip,flip,0053,0055,0,0.008585597388446331,0.016285093501210213,0.004509627819061279,0.017419060692191124,0.02658470906317234,0.0754605747973471,0.09565217391304348,0.005305821665438467,0.008253500368459838,0.006632277081798084,0.03630803242446574,1,2,1
